Name,Repository,Stars,LOC,Size_Classification,Best_or_worst
dolphinscheduler-maven-plugin,https://github.com/apache/dolphinscheduler-maven-plugin.git,7,2700,0.0,best
fineract-cn-template,https://github.com/apache/fineract-cn-template.git,7,2500,0.0,best
openwhisk-runtime-ballerina,https://github.com/apache/openwhisk-runtime-ballerina.git,7,2400,0.0,best
sling-org-apache-sling-starter,https://github.com/apache/sling-org-apache-sling-starter.git,15,2800,0.0,best
nifi-maven,https://github.com/apache/nifi-maven.git,17,3200,0.0,best
predictionio-template-java-ecom-recommender,https://github.com/apache/predictionio-template-java-ecom-recommender.git,37,1700,0.0,best
dubbo-sentinel-support,https://github.com/apache/dubbo-sentinel-support.git,52,1400,0.0,best
predictionio-sdk-java,https://github.com/apache/predictionio-sdk-java.git,108,2700,0.0,best
dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc.git,186,1000,0.0,best
shardingsphere-elasticjob-example,https://github.com/apache/shardingsphere-elasticjob-example.git,193,1800,0.0,best
commons-cli,https://github.com/apache/commons-cli.git,233,9900,1.0,best
incubator-retired-gossip,https://github.com/apache/incubator-retired-gossip.git,236,14700,1.0,best
flink-playgrounds,https://github.com/apache/flink-playgrounds.git,238,3800,1.0,best
flink-training,https://github.com/apache/flink-training.git,365,6700,1.0,best
servicecomb-samples,https://github.com/apache/servicecomb-samples.git,486,17500,1.0,best
cordova-plugin-splashscreen,https://github.com/apache/cordova-plugin-splashscreen.git,618,5000,1.0,best
shardingsphere-example,https://github.com/apache/shardingsphere-example.git,908,12800,1.0,best
parquet-format,https://github.com/apache/parquet-format.git,952,6600,1.0,best
rocketmq-spring,https://github.com/apache/rocketmq-spring.git,1500,9600,1.0,best
dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project.git,5200,14900,1.0,best
datasketches-java,https://github.com/apache/datasketches-java.git,745,113300,2.0,best
incubator-eventmesh,https://github.com/apache/incubator-eventmesh.git,748,55800,2.0,best
mina,https://github.com/apache/mina.git,805,46500,2.0,best
commons-io,https://github.com/apache/commons-io.git,822,92600,2.0,best
servicecomb-pack,https://github.com/apache/servicecomb-pack.git,1900,77200,2.0,best
nutch,https://github.com/apache/nutch.git,2300,30000,2.0,best
curator,https://github.com/apache/curator.git,2700,103100,2.0,best
dubbo-admin,https://github.com/apache/dubbo-admin.git,3400,57800,2.0,best
shiro,https://github.com/apache/shiro.git,3700,18800,2.0,best
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,7400,91500,2.0,best
jmeter,https://github.com/apache/jmeter.git,5700,477100,3.0,best
dolphinscheduler,https://github.com/apache/dolphinscheduler.git,6900,325800,3.0,best
cassandra,https://github.com/apache/cassandra.git,7000,1100000,3.0,best
zookeeper,https://github.com/apache/zookeeper.git,10000,289500,3.0,best
druid,https://github.com/apache/druid.git,11400,1400000,3.0,best
shardingsphere,https://github.com/apache/shardingsphere.git,15000,895700,3.0,best
rocketmq,https://github.com/apache/rocketmq.git,16100,184200,3.0,best
skywalking,https://github.com/apache/skywalking.git,18300,216600,3.0,best
kafka,https://github.com/apache/kafka.git,20600,949900,3.0,best
dubbo,https://github.com/apache/dubbo.git,36600,359800,3.0,best
