Name,Repository,Stars,LOC,Size_Classification
netbeans-mavenutils-nbm-maven-harness,https://github.com/apache/netbeans-mavenutils-nbm-maven-harness.git,1,129,1
jsecurity,https://github.com/apache/jsecurity.git,4,254,1
netbeans-mavenutils-archetype-netbeans-platform-app-archetype,https://github.com/apache/netbeans-mavenutils-archetype-netbeans-platform-app-archetype.git,2,255,1
sling-org-apache-sling-launchpad-test-fragment,https://github.com/apache/sling-org-apache-sling-launchpad-test-fragment.git,1,383,1
sling-org-apache-sling-models-caconfig,https://github.com/apache/sling-org-apache-sling-models-caconfig.git,1,439,1
sling-adapter-annotations,https://github.com/apache/sling-adapter-annotations.git,2,467,1
sling-org-apache-sling-commons-messaging,https://github.com/apache/sling-org-apache-sling-commons-messaging.git,2,521,1
sling-taglib-archetype,https://github.com/apache/sling-taglib-archetype.git,2,531,1
sling-org-apache-sling-commons-content-analyzing,https://github.com/apache/sling-org-apache-sling-commons-content-analyzing.git,1,536,1
sling-org-apache-sling-commons-content-processing,https://github.com/apache/sling-org-apache-sling-commons-content-processing.git,1,538,1
sling-org-apache-sling-jcr-resourcesecurity,https://github.com/apache/sling-org-apache-sling-jcr-resourcesecurity.git,1,565,1
sling-org-apache-sling-launchpad-api,https://github.com/apache/sling-org-apache-sling-launchpad-api.git,2,571,1
sling-org-apache-sling-bnd-plugins,https://github.com/apache/sling-org-apache-sling-bnd-plugins.git,1,574,1
sling-org-apache-sling-jcr-repository-it-resource-versioning,https://github.com/apache/sling-org-apache-sling-jcr-repository-it-resource-versioning.git,1,585,1
sling-org-apache-sling-bnd-plugin-headers-parameters-remove,https://github.com/apache/sling-org-apache-sling-bnd-plugin-headers-parameters-remove.git,1,585,1
sling-org-apache-sling-contentparser-testutils,https://github.com/apache/sling-org-apache-sling-contentparser-testutils.git,1,618,1
sling-org-apache-sling-feature-inventoryprinter,https://github.com/apache/sling-org-apache-sling-feature-inventoryprinter.git,1,625,1
sling-org-apache-sling-hc-it,https://github.com/apache/sling-org-apache-sling-hc-it.git,3,628,1
sling-org-apache-sling-validation-test-services,https://github.com/apache/sling-org-apache-sling-validation-test-services.git,1,641,1
sling-bundle-archetype,https://github.com/apache/sling-bundle-archetype.git,2,657,1
sling-jcrinstall-bundle-archetype,https://github.com/apache/sling-jcrinstall-bundle-archetype.git,1,663,1
sling-org-apache-sling-caconfig-bnd-plugin,https://github.com/apache/sling-org-apache-sling-caconfig-bnd-plugin.git,2,666,1
sling-org-apache-sling-commons-cache-container-test,https://github.com/apache/sling-org-apache-sling-commons-cache-container-test.git,1,677,1
sling-org-apache-sling-karaf-launchpad-oak-tar-integration-tests,https://github.com/apache/sling-org-apache-sling-karaf-launchpad-oak-tar-integration-tests.git,1,678,1
sling-org-apache-sling-auth-xing-api,https://github.com/apache/sling-org-apache-sling-auth-xing-api.git,1,689,1
sling-org-apache-sling-commons-johnzon,https://github.com/apache/sling-org-apache-sling-commons-johnzon.git,1,694,1
sling-org-apache-sling-feature-karaf,https://github.com/apache/sling-org-apache-sling-feature-karaf.git,2,696,1
sling-org-apache-sling-commons-logservice,https://github.com/apache/sling-org-apache-sling-commons-logservice.git,1,702,1
sling-org-apache-sling-installer-hc,https://github.com/apache/sling-org-apache-sling-installer-hc.git,2,720,1
sling-org-apache-sling-junit-healthcheck,https://github.com/apache/sling-org-apache-sling-junit-healthcheck.git,2,734,1
sling-org-apache-sling-urlrewriter,https://github.com/apache/sling-org-apache-sling-urlrewriter.git,2,741,1
sling-org-apache-sling-installer-factory-deploymentpackage,https://github.com/apache/sling-org-apache-sling-installer-factory-deploymentpackage.git,1,742,1
sling-org-apache-sling-tooling-support-install,https://github.com/apache/sling-org-apache-sling-tooling-support-install.git,1,752,1
sling-org-apache-sling-extensions-classloader-leak-detector,https://github.com/apache/sling-org-apache-sling-extensions-classloader-leak-detector.git,2,754,1
sling-org-apache-sling-jobs-it-services,https://github.com/apache/sling-org-apache-sling-jobs-it-services.git,1,758,1
sling-org-apache-sling-feature-applicationbuilder,https://github.com/apache/sling-org-apache-sling-feature-applicationbuilder.git,1,788,1
sling-org-apache-sling-commons-threaddump,https://github.com/apache/sling-org-apache-sling-commons-threaddump.git,2,791,1
sling-org-apache-sling-feature-extension-content,https://github.com/apache/sling-org-apache-sling-feature-extension-content.git,2,798,1
sling-org-apache-sling-jcr-packageinit,https://github.com/apache/sling-org-apache-sling-jcr-packageinit.git,1,818,1
netbeans-mavenutils-nbm-shared,https://github.com/apache/netbeans-mavenutils-nbm-shared.git,1,821,1
sling-org-apache-sling-validation-examples,https://github.com/apache/sling-org-apache-sling-validation-examples.git,1,824,1
sling-org-apache-sling-caconfig-api,https://github.com/apache/sling-org-apache-sling-caconfig-api.git,3,825,1
sling-org-apache-sling-mom,https://github.com/apache/sling-org-apache-sling-mom.git,2,843,1
sling-org-apache-sling-jcr-webconsole,https://github.com/apache/sling-org-apache-sling-jcr-webconsole.git,1,843,1
sling-org-apache-sling-contentparser-api,https://github.com/apache/sling-org-apache-sling-contentparser-api.git,1,861,1
sling-org-apache-sling-bnd-models,https://github.com/apache/sling-org-apache-sling-bnd-models.git,3,865,1
sling-org-apache-sling-nosql-couchbase-client,https://github.com/apache/sling-org-apache-sling-nosql-couchbase-client.git,1,867,1
sling-org-apache-sling-jobs-it,https://github.com/apache/sling-org-apache-sling-jobs-it.git,1,880,1
sling-org-apache-sling-hc-support,https://github.com/apache/sling-org-apache-sling-hc-support.git,1,895,1
sling-org-apache-sling-testing-email,https://github.com/apache/sling-org-apache-sling-testing-email.git,1,897,1
sling-org-apache-sling-launchpad-startupmanager,https://github.com/apache/sling-org-apache-sling-launchpad-startupmanager.git,1,904,1
sling-org-apache-sling-jcr-davex,https://github.com/apache/sling-org-apache-sling-jcr-davex.git,2,913,1
sling-org-apache-sling-installer-factory-packages,https://github.com/apache/sling-org-apache-sling-installer-factory-packages.git,1,914,1
sling-org-apache-sling-resource-presence,https://github.com/apache/sling-org-apache-sling-resource-presence.git,1,917,1
dubbo-serializtion-gson,https://github.com/apache/dubbo-serialization-gson.git,2,918,1
sling-org-apache-sling-scripting-jsp-taglib-compat,https://github.com/apache/sling-org-apache-sling-scripting-jsp-taglib-compat.git,1,924,1
sling-org-apache-sling-hc-junit-bridge,https://github.com/apache/sling-org-apache-sling-hc-junit-bridge.git,1,924,1
accumulo-instamo-archetype,https://github.com/apache/accumulo-instamo-archetype.git,3,940,1
sling-org-apache-sling-hc-samples,https://github.com/apache/sling-org-apache-sling-hc-samples.git,3,980,1
sling-org-apache-sling-installer-factory-subsystems-base,https://github.com/apache/sling-org-apache-sling-installer-factory-subsystems-base.git,1,990,1
commons-signing,https://github.com/apache/commons-signing.git,1,991,1
sling-org-apache-sling-feature-r2f,https://github.com/apache/sling-org-apache-sling-feature-r2f.git,1,1000,1
dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc.git,186,1000,1
sling-org-apache-sling-nosql-couchbase-resourceprovider,https://github.com/apache/sling-org-apache-sling-nosql-couchbase-resourceprovider.git,1,1000,1
sling-org-apache-sling-nosql-mongodb-resourceprovider,https://github.com/apache/sling-org-apache-sling-nosql-mongodb-resourceprovider.git,2,1000,1
sling-org-apache-sling-discovery-api,https://github.com/apache/sling-org-apache-sling-discovery-api.git,1,1000,1
sling-org-apache-sling-distribution-kryo-serializer,https://github.com/apache/sling-org-apache-sling-distribution-kryo-serializer.git,1,1100,1
sling-org-apache-sling-distribution-sample,https://github.com/apache/sling-org-apache-sling-distribution-sample.git,5,1100,1
fineract-cn-async,https://github.com/apache/fineract-cn-async.git,2,1100,1
sling-org-apache-sling-commons-contentdetection,https://github.com/apache/sling-org-apache-sling-commons-contentdetection.git,1,1100,1
sling-org-apache-sling-discovery-standalone,https://github.com/apache/sling-org-apache-sling-discovery-standalone.git,1,1100,1
sling-org-apache-sling-models-validation-impl,https://github.com/apache/sling-org-apache-sling-models-validation-impl.git,1,1100,1
sling-org-apache-sling-scripting-spi,https://github.com/apache/sling-org-apache-sling-scripting-spi.git,1,1100,1
sling-org-apache-sling-contentparser-xml,https://github.com/apache/sling-org-apache-sling-contentparser-xml.git,1,1100,1
sling-org-apache-sling-javax-activation,https://github.com/apache/sling-org-apache-sling-javax-activation.git,2,1100,1
sling-org-apache-sling-oak-restrictions,https://github.com/apache/sling-org-apache-sling-oak-restrictions.git,1,1100,1
sling-org-apache-sling-tooling-support-source,https://github.com/apache/sling-org-apache-sling-tooling-support-source.git,1,1100,1
sling-org-apache-sling-launchpad-installer,https://github.com/apache/sling-org-apache-sling-launchpad-installer.git,3,1100,1
sling-org-apache-sling-resource-inventory,https://github.com/apache/sling-org-apache-sling-resource-inventory.git,1,1100,1
sling-org-apache-sling-jcr-presence,https://github.com/apache/sling-org-apache-sling-jcr-presence.git,1,1100,1
sling-org-apache-sling-adapter-annotations,https://github.com/apache/sling-org-apache-sling-adapter-annotations.git,2,1100,1
sling-org-apache-sling-installer-console,https://github.com/apache/sling-org-apache-sling-installer-console.git,1,1100,1
sling-org-apache-sling-extensions-webconsolesecurityprovider,https://github.com/apache/sling-org-apache-sling-extensions-webconsolesecurityprovider.git,1,1200,1
fineract-cn-default-setup,https://github.com/apache/fineract-cn-default-setup.git,2,1200,1
sling-org-apache-sling-jcr-jackrabbit-base,https://github.com/apache/sling-org-apache-sling-jcr-jackrabbit-base.git,1,1200,1
sling-org-apache-sling-featureflags,https://github.com/apache/sling-org-apache-sling-featureflags.git,2,1200,1
sling-org-apache-sling-caconfig-integration-tests,https://github.com/apache/sling-org-apache-sling-caconfig-integration-tests.git,1,1200,1
sling-org-apache-sling-contentparser-xml-jcr,https://github.com/apache/sling-org-apache-sling-contentparser-xml-jcr.git,1,1200,1
sling-org-apache-sling-paxexam-util,https://github.com/apache/sling-org-apache-sling-paxexam-util.git,1,1200,1
sling-org-apache-sling-installer-factory-model,https://github.com/apache/sling-org-apache-sling-installer-factory-model.git,1,1300,1
sling-org-apache-sling-jcr-registration,https://github.com/apache/sling-org-apache-sling-jcr-registration.git,1,1300,1
sling-org-apache-sling-auth-xing-oauth,https://github.com/apache/sling-org-apache-sling-auth-xing-oauth.git,1,1300,1
sling-org-apache-sling-jcr-filetransfer,https://github.com/apache/sling-org-apache-sling-jcr-filetransfer.git,1,1300,1
sling-launchpad-comparator,https://github.com/apache/sling-launchpad-comparator.git,1,1300,1
