,Repository Name,Stars,LOC,Size_Classification,Commits Number,Bug Fixing Commits Number,Modified Lines,Modified Files,Commits metadata savepath,TDD probability,Before Frequency,Same Commit Frequency,After Frequency
0,netbeans-mavenutils-nb-repository-plugin,1,1900,0,1247,8,2680,103501,controlRepositoryMetadata/netbeans-mavenutils-nb-repository-plugin_commits_info.npy,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143
1,nifi-maven,17,3200,0,44,1,86,4814,controlRepositoryMetadata/nifi-maven_commits_info.npy,0.0,0.0,0.0,0.0
2,sling-org-apache-sling-commons-messaging-mail,2,4500,0,132,0,250,7682,controlRepositoryMetadata/sling-org-apache-sling-commons-messaging-mail_commits_info.npy,0.0,0.0,0.0,1.0
3,fineract-cn-office,4,7500,0,63,1,851,26743,controlRepositoryMetadata/fineract-cn-office_commits_info.npy,1.0,0.0,1.0,0.0
4,sling-org-apache-sling-fsresource,4,10900,0,225,3,617,18070,controlRepositoryMetadata/sling-org-apache-sling-fsresource_commits_info.npy,0.9090909090909091,0.0,0.9090909090909091,0.09090909090909091
5,plc4x-build-tools,8,16400,0,188,1,804,28886,controlRepositoryMetadata/plc4x-build-tools_commits_info.npy,1.0,0.0,1.0,0.0
6,sling-org-apache-sling-resourceresolver,6,29600,0,749,6,1759,80932,controlRepositoryMetadata/sling-org-apache-sling-resourceresolver_commits_info.npy,0.2692307692307692,0.038461538461538464,0.23076923076923078,0.7307692307692307
7,servicemix-specs,1,43800,0,423,0,3437,70246,controlRepositoryMetadata/servicemix-specs_commits_info.npy,0.0,0.0,0.0,1.0
8,incubator-retired-htrace,102,75800,0,605,10,2842,175050,controlRepositoryMetadata/incubator-retired-htrace_commits_info.npy,0.5909090909090909,0.045454545454545456,0.5454545454545454,0.4090909090909091
9,qpid-proton-j,28,108700,0,3184,135,19491,983940,controlRepositoryMetadata/qpid-proton-j_commits_info.npy,0.25,0.0,0.25,0.75
10,servicemix4-bundles,18,289100,1,7583,4,13324,375963,controlRepositoryMetadata/servicemix4-bundles_commits_info.npy,0.0,0.0,0.0,0.0
11,geronimo-specs,18,330800,1,1900,13,22909,1358061,controlRepositoryMetadata/geronimo-specs_commits_info.npy,0.4050632911392405,0.0,0.4050632911392405,0.5949367088607594
12,ignite-3,43,347200,1,523,7,11360,717989,controlRepositoryMetadata/ignite-3_commits_info.npy,0.7609756097560976,0.00975609756097561,0.751219512195122,0.23902439024390243
13,oozie,627,354500,1,2368,24,19572,743718,controlRepositoryMetadata/oozie_commits_info.npy,0.8626126126126126,0.01126126126126126,0.8513513513513513,0.1373873873873874
14,logging-log4j2,1700,437000,1,11502,214,57403,1907844,controlRepositoryMetadata/logging-log4j2_commits_info.npy,0.5281501340482574,0.01876675603217158,0.5093833780160858,0.4718498659517426
15,atlas,1100,500600,1,3625,69,30356,1904179,controlRepositoryMetadata/atlas_commits_info.npy,0.6222222222222222,0.005555555555555556,0.6166666666666667,0.37777777777777777
16,directory-ldap-api,24,509600,1,5888,237,88797,4445819,controlRepositoryMetadata/directory-ldap-api_commits_info.npy,0.6501650165016502,0.019801980198019802,0.6303630363036303,0.34983498349834985
17,iotdb,1700,511700,1,5519,667,68209,4267909,controlRepositoryMetadata/iotdb_commits_info.npy,0.7350649350649351,0.023376623376623377,0.7116883116883117,0.2649350649350649
18,phoenix,910,566200,1,3586,25,28470,1403339,controlRepositoryMetadata/phoenix_commits_info.npy,0.6965174129353234,0.004975124378109453,0.6915422885572139,0.3034825870646766
19,tapestry-5,91,792100,1,5618,54,40387,2584549,controlRepositoryMetadata/tapestry-5_commits_info.npy,0.9003021148036254,0.006042296072507553,0.8942598187311178,0.09969788519637462
20,incubator-sedona,1000,868600,2,906,39,18470,12611827,controlRepositoryMetadata/incubator-sedona_commits_info.npy,0.5652173913043478,0.08695652173913043,0.4782608695652174,0.43478260869565216
21,ranger,558,913100,2,3763,47,27750,2034804,controlRepositoryMetadata/ranger_commits_info.npy,0.3888888888888889,0.015873015873015872,0.373015873015873,0.6111111111111112
22,juddi,15,913800,2,2934,64,28497,2311018,controlRepositoryMetadata/juddi_commits_info.npy,0.17045454545454544,0.07954545454545454,0.09090909090909091,0.8295454545454546
23,uima-uimaj,46,937300,2,7322,240,101177,9492585,controlRepositoryMetadata/uima-uimaj_commits_info.npy,0.6209677419354839,0.008064516129032258,0.6129032258064516,0.3790322580645161
