,Repository Name,Stars,LOC,Size_Classification,Commits Number,Bug Fixing Commits Number,Modified Lines,Modified Files,Commits metadata savepath,TDD probability,Before Frequency,Same Commit Frequency,After Frequency
0,dubbo-spring-boot-project,5200,14900,0,287,32,2134,73152,repositoryMetadata/dubbo-spring-boot-project_commits_info.npy,0.533333333,0,0.533333333,0.466666667
1,shiro,3700,18800,0,2203,46,20315,1007674,repositoryMetadata/shiro_commits_info.npy,0.429824561,0.061403509,0.368421053,0.570175439
2,nutch,2300,30000,0,3267,60,24983,1381463,repositoryMetadata/nutch_commits_info.npy,0.617647059,0,0.617647059,0.382352941
3,dubbo-admin,3400,57800,0,593,31,4914,288423,repositoryMetadata/dubbo-admin_commits_info.npy,0.523809524,0,0.523809524,0.476190476
4,shardingsphere-elasticjob,7400,91500,0,2195,41,35335,1423242,repositoryMetadata/shardingsphere-elasticjob_commits_info.npy,0.691489362,0.060283688,0.631205674,0.308510638
5,curator,2700,103100,0,2739,19,20891,1198067,repositoryMetadata/curator_commits_info.npy,0.76119403,0.014925373,0.746268657,0.23880597
6,rocketmq,16100,184200,0,1844,84,15897,702471,repositoryMetadata/rocketmq_commits_info.npy,0.342391304,0,0.342391304,0.657608696
7,incubator-shenyu,5600,196600,0,1829,138,20634,757347,repositoryMetadata/incubator-shenyu_commits_info.npy,0.133928571,0.044642857,0.089285714,0.866071429
8,maven,2900,210600,0,11502,162,50974,1760793,repositoryMetadata/maven_commits_info.npy,0.506666667,0.01,0.496666667,0.493333333
9,skywalking,18300,216600,0,6869,349,134660,5853071,repositoryMetadata/skywalking_commits_info.npy,0.56920078,0.025341131,0.543859649,0.43079922
10,zookeeper,10000,289500,1,2373,91,17817,875215,repositoryMetadata/zookeeper_commits_info.npy,0.616438356,0,0.616438356,0.383561644
11,dolphinscheduler,6900,325800,1,5598,787,96924,6305695,repositoryMetadata/dolphinscheduler_commits_info.npy,0.569277108,0.012048193,0.557228916,0.430722892
12,hudi,2600,327800,1,2261,80,21569,966056,repositoryMetadata/hudi_commits_info.npy,0.661087866,0.0041841,0.656903766,0.338912134
13,dubbo,36600,359800,1,5244,241,61244,2585942,repositoryMetadata/dubbo_commits_info.npy,0.421052632,0.021929825,0.399122807,0.578947368
14,incubator-heron,3600,413900,1,3227,154,49925,3702774,repositoryMetadata/incubator-heron_commits_info.npy,0.730232558,0.023255814,0.706976744,0.269767442
15,jmeter,5700,477100,1,17537,840,61250,2787074,repositoryMetadata/jmeter_commits_info.npy,0.165137615,0.009174312,0.155963303,0.834862385
16,zeppelin,5500,477400,1,5015,1393,32146,2450637,repositoryMetadata/zeppelin_commits_info.npy,0.723300971,0.004854369,0.718446602,0.276699029
17,calcite,2800,665400,1,4803,123,47623,2355922,repositoryMetadata/calcite_commits_info.npy,0.611464968,0.031847134,0.579617834,0.388535032
18,groovy,4400,693100,1,19167,418,90038,4103868,repositoryMetadata/groovy_commits_info.npy,0.388888889,0.044444444,0.344444444,0.611111111
19,tomcat,5700,824600,1,23820,3366,80631,3452023,repositoryMetadata/tomcat_commits_info.npy,0.155477032,0.010600707,0.144876325,0.844522968
20,shardingsphere,15000,895700,2,31030,736,467850,19922020,repositoryMetadata/nifi_commits_info.npy,0.478723404,0.067819149,0.410904255,0.521276596
21,activemq,2000,947900,2,10967,169,73043,3390344,repositoryMetadata/activemq_commits_info.npy,0.488294314,0.010033445,0.47826087,0.511705686
22,kafka,20600,949900,2,9622,566,69853,2766598,repositoryMetadata/kafka_commits_info.npy,0.680306905,0.007672634,0.672634271,0.319693095
23,incubator-doris,3600,1000000,2,3624,996,45007,2704002,repositoryMetadata/incubator-doris_commits_info.npy,0.798798799,0,0.798798799,0.201201201
24,pinot,3700,1100000,2,8428,549,88806,5624409,repositoryMetadata/pinot_commits_info.npy,0.664141414,0.029040404,0.63510101,0.335858586
25,cassandra,7000,1100000,2,27104,264,131421,4994229,repositoryMetadata/cassandra_commits_info.npy,0.549469965,0.024734982,0.524734982,0.450530035
26,kylin,3200,1300000,2,8719,509,108634,16813645,repositoryMetadata/kylin_commits_info.npy,0.64469914,0.00286533,0.641833811,0.35530086
27,hbase,4300,1400000,2,18901,298,130783,11170491,repositoryMetadata/hbase_commits_info.npy,0.694344164,0.024067389,0.670276775,0.305655836
28,druid,11400,1400000,2,11458,640,147359,6665787,repositoryMetadata/druid_commits_info.npy,0.621372965,0.026893135,0.59447983,0.378627035
29,nifi,2900,1700000,2,6954,345,119505,4848424,repositoryMetadata/nifi_commits_info.npy,0.812667261,0.004460303,0.808206958,0.187332739
