ID,Name,Repository,Stars,LOC,Stars_Group
1,netbeans-mavenutils-nbm-maven-harness,https://github.com/apache/netbeans-mavenutils-nbm-maven-harness.git,1,129,1.0
2,jsecurity,https://github.com/apache/jsecurity.git,4,254,1.0
3,netbeans-mavenutils-archetype-netbeans-platform-app-archetype,https://github.com/apache/netbeans-mavenutils-archetype-netbeans-platform-app-archetype.git,2,255,1.0
4,sling-org-apache-sling-launchpad-test-fragment,https://github.com/apache/sling-org-apache-sling-launchpad-test-fragment.git,1,383,1.0
5,sling-org-apache-sling-models-caconfig,https://github.com/apache/sling-org-apache-sling-models-caconfig.git,1,439,1.0
6,sling-adapter-annotations,https://github.com/apache/sling-adapter-annotations.git,2,467,1.0
7,sling-org-apache-sling-commons-messaging,https://github.com/apache/sling-org-apache-sling-commons-messaging.git,2,521,1.0
8,sling-taglib-archetype,https://github.com/apache/sling-taglib-archetype.git,2,531,1.0
9,sling-org-apache-sling-commons-content-analyzing,https://github.com/apache/sling-org-apache-sling-commons-content-analyzing.git,1,536,1.0
10,sling-org-apache-sling-commons-content-processing,https://github.com/apache/sling-org-apache-sling-commons-content-processing.git,1,538,1.0
11,sling-org-apache-sling-jcr-resourcesecurity,https://github.com/apache/sling-org-apache-sling-jcr-resourcesecurity.git,1,565,1.0
12,sling-org-apache-sling-launchpad-api,https://github.com/apache/sling-org-apache-sling-launchpad-api.git,2,571,1.0
13,sling-org-apache-sling-bnd-plugins,https://github.com/apache/sling-org-apache-sling-bnd-plugins.git,1,574,1.0
14,sling-org-apache-sling-jcr-repository-it-resource-versioning,https://github.com/apache/sling-org-apache-sling-jcr-repository-it-resource-versioning.git,1,585,1.0
15,sling-org-apache-sling-bnd-plugin-headers-parameters-remove,https://github.com/apache/sling-org-apache-sling-bnd-plugin-headers-parameters-remove.git,1,585,1.0
16,sling-org-apache-sling-contentparser-testutils,https://github.com/apache/sling-org-apache-sling-contentparser-testutils.git,1,618,1.0
17,sling-org-apache-sling-feature-inventoryprinter,https://github.com/apache/sling-org-apache-sling-feature-inventoryprinter.git,1,625,1.0
18,sling-org-apache-sling-hc-it,https://github.com/apache/sling-org-apache-sling-hc-it.git,3,628,1.0
19,sling-org-apache-sling-validation-test-services,https://github.com/apache/sling-org-apache-sling-validation-test-services.git,1,641,1.0
20,sling-bundle-archetype,https://github.com/apache/sling-bundle-archetype.git,2,657,1.0
21,sling-jcrinstall-bundle-archetype,https://github.com/apache/sling-jcrinstall-bundle-archetype.git,1,663,1.0
22,sling-org-apache-sling-caconfig-bnd-plugin,https://github.com/apache/sling-org-apache-sling-caconfig-bnd-plugin.git,2,666,1.0
23,sling-org-apache-sling-commons-cache-container-test,https://github.com/apache/sling-org-apache-sling-commons-cache-container-test.git,1,677,1.0
24,sling-org-apache-sling-karaf-launchpad-oak-tar-integration-tests,https://github.com/apache/sling-org-apache-sling-karaf-launchpad-oak-tar-integration-tests.git,1,678,1.0
25,sling-org-apache-sling-auth-xing-api,https://github.com/apache/sling-org-apache-sling-auth-xing-api.git,1,689,1.0
26,sling-org-apache-sling-commons-johnzon,https://github.com/apache/sling-org-apache-sling-commons-johnzon.git,1,694,1.0
27,sling-org-apache-sling-feature-karaf,https://github.com/apache/sling-org-apache-sling-feature-karaf.git,2,696,1.0
28,sling-org-apache-sling-commons-logservice,https://github.com/apache/sling-org-apache-sling-commons-logservice.git,1,702,1.0
29,sling-org-apache-sling-installer-hc,https://github.com/apache/sling-org-apache-sling-installer-hc.git,2,720,1.0
30,sling-org-apache-sling-junit-healthcheck,https://github.com/apache/sling-org-apache-sling-junit-healthcheck.git,2,734,1.0
31,sling-org-apache-sling-urlrewriter,https://github.com/apache/sling-org-apache-sling-urlrewriter.git,2,741,1.0
32,sling-org-apache-sling-installer-factory-deploymentpackage,https://github.com/apache/sling-org-apache-sling-installer-factory-deploymentpackage.git,1,742,1.0
33,sling-org-apache-sling-tooling-support-install,https://github.com/apache/sling-org-apache-sling-tooling-support-install.git,1,752,1.0
34,sling-org-apache-sling-extensions-classloader-leak-detector,https://github.com/apache/sling-org-apache-sling-extensions-classloader-leak-detector.git,2,754,1.0
35,sling-org-apache-sling-jobs-it-services,https://github.com/apache/sling-org-apache-sling-jobs-it-services.git,1,758,1.0
36,sling-org-apache-sling-feature-applicationbuilder,https://github.com/apache/sling-org-apache-sling-feature-applicationbuilder.git,1,788,1.0
37,sling-org-apache-sling-commons-threaddump,https://github.com/apache/sling-org-apache-sling-commons-threaddump.git,2,791,1.0
38,sling-org-apache-sling-feature-extension-content,https://github.com/apache/sling-org-apache-sling-feature-extension-content.git,2,798,1.0
39,sling-org-apache-sling-jcr-packageinit,https://github.com/apache/sling-org-apache-sling-jcr-packageinit.git,1,818,1.0
40,netbeans-mavenutils-nbm-shared,https://github.com/apache/netbeans-mavenutils-nbm-shared.git,1,821,1.0
41,sling-org-apache-sling-validation-examples,https://github.com/apache/sling-org-apache-sling-validation-examples.git,1,824,1.0
42,sling-org-apache-sling-caconfig-api,https://github.com/apache/sling-org-apache-sling-caconfig-api.git,3,825,1.0
43,sling-org-apache-sling-mom,https://github.com/apache/sling-org-apache-sling-mom.git,2,843,1.0
44,sling-org-apache-sling-jcr-webconsole,https://github.com/apache/sling-org-apache-sling-jcr-webconsole.git,1,843,1.0
45,sling-org-apache-sling-contentparser-api,https://github.com/apache/sling-org-apache-sling-contentparser-api.git,1,861,1.0
46,sling-org-apache-sling-bnd-models,https://github.com/apache/sling-org-apache-sling-bnd-models.git,3,865,1.0
47,sling-org-apache-sling-nosql-couchbase-client,https://github.com/apache/sling-org-apache-sling-nosql-couchbase-client.git,1,867,1.0
