Name,Repository,Stars,LOC,Size_Classification,Best_or_worst
dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project.git,5200,14900,0,best
shiro,https://github.com/apache/shiro.git,3700,18800,0,best
nutch,https://github.com/apache/nutch.git,2300,30000,0,best
dubbo-admin,https://github.com/apache/dubbo-admin.git,3400,57800,0,best
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,7400,91500,0,best
curator,https://github.com/apache/curator.git,2700,103100,0,best
rocketmq,https://github.com/apache/rocketmq.git,16100,184200,0,best
incubator-shenyu,https://github.com/apache/incubator-shenyu.git,5600,196600,0,best
maven,https://github.com/apache/maven.git,2900,210600,0,best
skywalking,https://github.com/apache/skywalking.git,18300,216600,0,best
zookeeper,https://github.com/apache/zookeeper.git,10000,289500,1,best
dolphinscheduler,https://github.com/apache/dolphinscheduler.git,6900,325800,1,best
hudi,https://github.com/apache/hudi.git,2600,327800,1,best
dubbo,https://github.com/apache/dubbo.git,36600,359800,1,best
incubator-heron,https://github.com/apache/incubator-heron.git,3600,413900,1,best
jmeter,https://github.com/apache/jmeter.git,5700,477100,1,best
zeppelin,https://github.com/apache/zeppelin.git,5500,477400,1,best
calcite,https://github.com/apache/calcite.git,2800,665400,1,best
groovy,https://github.com/apache/groovy.git,4400,693100,1,best
tomcat,https://github.com/apache/tomcat.git,5700,824600,1,best
shardingsphere,https://github.com/apache/shardingsphere.git,15000,895700,2,best
activemq,https://github.com/apache/activemq.git,2000,947900,2,best
kafka,https://github.com/apache/kafka.git,20600,949900,2,best
incubator-doris,https://github.com/apache/incubator-doris.git,3600,1000000,2,best
pinot,https://github.com/apache/pinot.git,3700,1100000,2,best
cassandra,https://github.com/apache/cassandra.git,7000,1100000,2,best
kylin,https://github.com/apache/kylin.git,3200,1300000,2,best
hbase,https://github.com/apache/hbase.git,4300,1400000,2,best
druid,https://github.com/apache/druid.git,11400,1400000,2,best
nifi,https://github.com/apache/nifi.git,2900,1700000,2,best
