Name,Repository,Stars,LOC,Size_Classification,Best_or_worst,index
camel-kameleon,https://github.com/apache/camel-kameleon.git,24,4000,0.0,best,313.0
predictionio-template-java-ecom-recommender,https://github.com/apache/predictionio-template-java-ecom-recommender.git,37,1700,0.0,best,758.0
tomcat-jakartaee-migration,https://github.com/apache/tomcat-jakartaee-migration.git,48,3900,0.0,best,599.0
dubbo-sentinel-support,https://github.com/apache/dubbo-sentinel-support.git,52,1400,0.0,best,735.0
freemarker-online-tester,https://github.com/apache/freemarker-online-tester.git,54,5000,0.0,best,621.0
predictionio-sdk-java,https://github.com/apache/predictionio-sdk-java.git,108,2700,0.0,best,787.0
dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc.git,186,1000,0.0,best,785.0
shardingsphere-elasticjob-example,https://github.com/apache/shardingsphere-elasticjob-example.git,193,1800,0.0,best,668.0
flink-playgrounds,https://github.com/apache/flink-playgrounds.git,238,3800,0.0,best,390.0
cordova-plugin-splashscreen,https://github.com/apache/cordova-plugin-splashscreen.git,618,5000,0.0,best,310.0
bahir-flink,https://github.com/apache/bahir-flink.git,564,29700,1.0,best,139.0
incubator-eventmesh,https://github.com/apache/incubator-eventmesh.git,748,55800,1.0,best,72.0
mina,https://github.com/apache/mina.git,805,46500,1.0,best,210.0
shardingsphere-example,https://github.com/apache/shardingsphere-example.git,908,12800,1.0,best,661.0
parquet-format,https://github.com/apache/parquet-format.git,952,6600,1.0,best,334.0
rocketmq-spring,https://github.com/apache/rocketmq-spring.git,1500,9600,1.0,best,180.0
nutch,https://github.com/apache/nutch.git,2300,30000,1.0,best,166.0
dubbo-admin,https://github.com/apache/dubbo-admin.git,3400,57800,1.0,best,171.0
shiro,https://github.com/apache/shiro.git,3700,18800,1.0,best,270.0
dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project.git,5200,14900,1.0,best,379.0
dolphinscheduler,https://github.com/apache/dolphinscheduler.git,6900,325800,2.0,best,10.0
cassandra,https://github.com/apache/cassandra.git,7000,1100000,2.0,best,78.0
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,7400,91500,2.0,best,318.0
zookeeper,https://github.com/apache/zookeeper.git,10000,289500,2.0,best,17.0
druid,https://github.com/apache/druid.git,11400,1400000,2.0,best,45.0
shardingsphere,https://github.com/apache/shardingsphere.git,15000,895700,2.0,best,6.0
rocketmq,https://github.com/apache/rocketmq.git,16100,184200,2.0,best,53.0
skywalking,https://github.com/apache/skywalking.git,18300,216600,2.0,best,23.0
kafka,https://github.com/apache/kafka.git,20600,949900,2.0,best,12.0
dubbo,https://github.com/apache/dubbo.git,36600,359800,2.0,best,7.0
