index,Name,Repository,Stars,LOC,Size_Classification
619,netbeans-mavenutils-nbm-maven-harness,https://github.com/apache/netbeans-mavenutils-nbm-maven-harness.git,1,129,0.0
825,jsecurity,https://github.com/apache/jsecurity.git,4,254,0.0
620,netbeans-mavenutils-archetype-netbeans-platform-app-archetype,https://github.com/apache/netbeans-mavenutils-archetype-netbeans-platform-app-archetype.git,2,255,0.0
479,sling-org-apache-sling-launchpad-test-fragment,https://github.com/apache/sling-org-apache-sling-launchpad-test-fragment.git,1,383,0.0
453,sling-org-apache-sling-models-caconfig,https://github.com/apache/sling-org-apache-sling-models-caconfig.git,1,439,0.0
562,sling-adapter-annotations,https://github.com/apache/sling-adapter-annotations.git,2,467,0.0
307,sling-org-apache-sling-commons-messaging,https://github.com/apache/sling-org-apache-sling-commons-messaging.git,2,521,0.0
422,sling-taglib-archetype,https://github.com/apache/sling-taglib-archetype.git,2,531,0.0
306,sling-org-apache-sling-commons-content-analyzing,https://github.com/apache/sling-org-apache-sling-commons-content-analyzing.git,1,536,0.0
305,sling-org-apache-sling-commons-content-processing,https://github.com/apache/sling-org-apache-sling-commons-content-processing.git,1,538,0.0
260,sling-org-apache-sling-jcr-resourcesecurity,https://github.com/apache/sling-org-apache-sling-jcr-resourcesecurity.git,1,565,0.0
503,sling-org-apache-sling-launchpad-api,https://github.com/apache/sling-org-apache-sling-launchpad-api.git,2,571,0.0
763,sling-org-apache-sling-bnd-plugins,https://github.com/apache/sling-org-apache-sling-bnd-plugins.git,1,574,0.0
458,sling-org-apache-sling-jcr-repository-it-resource-versioning,https://github.com/apache/sling-org-apache-sling-jcr-repository-it-resource-versioning.git,1,585,0.0
554,sling-org-apache-sling-bnd-plugin-headers-parameters-remove,https://github.com/apache/sling-org-apache-sling-bnd-plugin-headers-parameters-remove.git,1,585,0.0
498,sling-org-apache-sling-contentparser-testutils,https://github.com/apache/sling-org-apache-sling-contentparser-testutils.git,1,618,0.0
571,sling-org-apache-sling-feature-inventoryprinter,https://github.com/apache/sling-org-apache-sling-feature-inventoryprinter.git,1,625,0.0
505,sling-org-apache-sling-hc-it,https://github.com/apache/sling-org-apache-sling-hc-it.git,3,628,0.0
176,sling-org-apache-sling-validation-test-services,https://github.com/apache/sling-org-apache-sling-validation-test-services.git,1,641,0.0
550,sling-bundle-archetype,https://github.com/apache/sling-bundle-archetype.git,2,657,0.0
524,sling-jcrinstall-bundle-archetype,https://github.com/apache/sling-jcrinstall-bundle-archetype.git,1,663,0.0
542,sling-org-apache-sling-caconfig-bnd-plugin,https://github.com/apache/sling-org-apache-sling-caconfig-bnd-plugin.git,2,666,0.0
497,sling-org-apache-sling-commons-cache-container-test,https://github.com/apache/sling-org-apache-sling-commons-cache-container-test.git,1,677,0.0
358,sling-org-apache-sling-karaf-launchpad-oak-tar-integration-tests,https://github.com/apache/sling-org-apache-sling-karaf-launchpad-oak-tar-integration-tests.git,1,678,0.0
452,sling-org-apache-sling-auth-xing-api,https://github.com/apache/sling-org-apache-sling-auth-xing-api.git,1,689,0.0
386,sling-org-apache-sling-commons-johnzon,https://github.com/apache/sling-org-apache-sling-commons-johnzon.git,1,694,0.0
570,sling-org-apache-sling-feature-karaf,https://github.com/apache/sling-org-apache-sling-feature-karaf.git,2,696,0.0
565,sling-org-apache-sling-commons-logservice,https://github.com/apache/sling-org-apache-sling-commons-logservice.git,1,702,0.0
563,sling-org-apache-sling-installer-hc,https://github.com/apache/sling-org-apache-sling-installer-hc.git,2,720,0.0
405,sling-org-apache-sling-junit-healthcheck,https://github.com/apache/sling-org-apache-sling-junit-healthcheck.git,2,734,0.0
408,sling-org-apache-sling-urlrewriter,https://github.com/apache/sling-org-apache-sling-urlrewriter.git,2,741,0.0
467,sling-org-apache-sling-installer-factory-deploymentpackage,https://github.com/apache/sling-org-apache-sling-installer-factory-deploymentpackage.git,1,742,0.0
411,sling-org-apache-sling-tooling-support-install,https://github.com/apache/sling-org-apache-sling-tooling-support-install.git,1,752,0.0
511,sling-org-apache-sling-extensions-classloader-leak-detector,https://github.com/apache/sling-org-apache-sling-extensions-classloader-leak-detector.git,2,754,0.0
557,sling-org-apache-sling-jobs-it-services,https://github.com/apache/sling-org-apache-sling-jobs-it-services.git,1,758,0.0
764,sling-org-apache-sling-feature-applicationbuilder,https://github.com/apache/sling-org-apache-sling-feature-applicationbuilder.git,1,788,0.0
521,sling-org-apache-sling-commons-threaddump,https://github.com/apache/sling-org-apache-sling-commons-threaddump.git,2,791,0.0
572,sling-org-apache-sling-feature-extension-content,https://github.com/apache/sling-org-apache-sling-feature-extension-content.git,2,798,0.0
478,sling-org-apache-sling-jcr-packageinit,https://github.com/apache/sling-org-apache-sling-jcr-packageinit.git,1,818,0.0
624,netbeans-mavenutils-nbm-shared,https://github.com/apache/netbeans-mavenutils-nbm-shared.git,1,821,0.0
173,sling-org-apache-sling-validation-examples,https://github.com/apache/sling-org-apache-sling-validation-examples.git,1,824,0.0
547,sling-org-apache-sling-caconfig-api,https://github.com/apache/sling-org-apache-sling-caconfig-api.git,3,825,0.0
561,sling-org-apache-sling-mom,https://github.com/apache/sling-org-apache-sling-mom.git,2,843,0.0
446,sling-org-apache-sling-jcr-webconsole,https://github.com/apache/sling-org-apache-sling-jcr-webconsole.git,1,843,0.0
507,sling-org-apache-sling-contentparser-api,https://github.com/apache/sling-org-apache-sling-contentparser-api.git,1,861,0.0
560,sling-org-apache-sling-bnd-models,https://github.com/apache/sling-org-apache-sling-bnd-models.git,3,865,0.0
553,sling-org-apache-sling-nosql-couchbase-client,https://github.com/apache/sling-org-apache-sling-nosql-couchbase-client.git,1,867,0.0
564,sling-org-apache-sling-jobs-it,https://github.com/apache/sling-org-apache-sling-jobs-it.git,1,880,0.0
491,sling-org-apache-sling-hc-support,https://github.com/apache/sling-org-apache-sling-hc-support.git,1,895,0.0
421,sling-org-apache-sling-testing-email,https://github.com/apache/sling-org-apache-sling-testing-email.git,1,897,0.0
487,sling-org-apache-sling-launchpad-startupmanager,https://github.com/apache/sling-org-apache-sling-launchpad-startupmanager.git,1,904,0.0
515,sling-org-apache-sling-jcr-davex,https://github.com/apache/sling-org-apache-sling-jcr-davex.git,2,913,0.0
457,sling-org-apache-sling-installer-factory-packages,https://github.com/apache/sling-org-apache-sling-installer-factory-packages.git,1,914,0.0
485,sling-org-apache-sling-resource-presence,https://github.com/apache/sling-org-apache-sling-resource-presence.git,1,917,0.0
834,dubbo-serializtion-gson,https://github.com/apache/dubbo-serialization-gson.git,2,918,0.0
450,sling-org-apache-sling-scripting-jsp-taglib-compat,https://github.com/apache/sling-org-apache-sling-scripting-jsp-taglib-compat.git,1,924,0.0
500,sling-org-apache-sling-hc-junit-bridge,https://github.com/apache/sling-org-apache-sling-hc-junit-bridge.git,1,924,0.0
655,accumulo-instamo-archetype,https://github.com/apache/accumulo-instamo-archetype.git,3,940,0.0
