Name,Repository,Stars,LOC,Size_Classification,Best_or_worst
dolphinscheduler,https://github.com/apache/dolphinscheduler.git,6900,325800,0,best
cassandra,https://github.com/apache/cassandra.git,7000,1100000,0,best
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,7400,91500,0,best
zookeeper,https://github.com/apache/zookeeper.git,10000,289500,0,best
druid,https://github.com/apache/druid.git,11400,1400000,0,best
shardingsphere,https://github.com/apache/shardingsphere.git,15000,895700,0,best
rocketmq,https://github.com/apache/rocketmq.git,16100,184200,0,best
skywalking,https://github.com/apache/skywalking.git,18300,216600,0,best
kafka,https://github.com/apache/kafka.git,20600,949900,0,best
dubbo,https://github.com/apache/dubbo.git,36600,359800,0,best
netbeans,https://github.com/apache/netbeans.git,1700,22000000,1,best
tika,https://github.com/apache/tika.git,1300,3500000,2,best
ambari,https://github.com/apache/ambari.git,1600,2600000,2,best
geode,https://github.com/apache/geode.git,2000,2300000,2,best
iceberg,https://github.com/apache/iceberg.git,2200,3200000,2,best
hive,https://github.com/apache/hive.git,4000,6200000,2,best
camel,https://github.com/apache/camel.git,4000,3300000,2,best
ignite,https://github.com/apache/ignite.git,4000,3200000,2,best
pulsar,https://github.com/apache/pulsar.git,10100,2500000,2,best
hadoop,https://github.com/apache/hadoop.git,12200,4700000,2,best
flink,https://github.com/apache/flink.git,17700,3300000,2,best
