Name,Repository,Stars,LOC
hudi,https://github.com/apache/hudi.git,2.6k,327.8*1000
pulsar,https://github.com/apache/pulsar.git,10.1k,2.5*1000000
manifoldcf,https://github.com/apache/manifoldcf.git,68,543.9*1000
groovy,https://github.com/apache/groovy.git,4.4k,693.1*1000
incubator-doris,https://github.com/apache/incubator-doris.git,3.6k,1.0*1000000
pdfbox,https://github.com/apache/pdfbox.git,1.6k,557.5*1000
shardingsphere,https://github.com/apache/shardingsphere.git,15k,895.7*1000
dubbo,https://github.com/apache/dubbo.git,36.6k,359.8*1000
xmlbeans,https://github.com/apache/xmlbeans.git,39,392.2*1000
camel,https://github.com/apache/camel.git,4k,3.3*1000000
dolphinscheduler,https://github.com/apache/dolphinscheduler.git,6.9k,325.8*1000
incubator-shenyu,https://github.com/apache/incubator-shenyu.git,5.6k,196.6*1000
kafka,https://github.com/apache/kafka.git,20.6k,949.9*1000
pinot,https://github.com/apache/pinot.git,3.7k,1.1*1000000
lucene,https://github.com/apache/lucene.git,602,1.3*1000000
directory-fortress-commander,https://github.com/apache/directory-fortress-commander.git,9,33.3*1000
directory-fortress-enmasse,https://github.com/apache/directory-fortress-enmasse.git,5,25.9*1000
zookeeper,https://github.com/apache/zookeeper.git,10k,289.5*1000
ozone,https://github.com/apache/ozone.git,438,574.8*1000
camel-quarkus,https://github.com/apache/camel-quarkus.git,154,380.4*1000
knox,https://github.com/apache/knox.git,128,339.7*1000
directory-fortress-realm,https://github.com/apache/directory-fortress-realm.git,4,4.0*1000
mnemonic,https://github.com/apache/mnemonic.git,101,44.9*1000
skywalking,https://github.com/apache/skywalking.git,18.3k,216.6*1000
james-project,https://github.com/apache/james-project.git,554,1.1*1000000
logging-log4j2,https://github.com/apache/logging-log4j2.git,1.7k,437.0*1000
ignite,https://github.com/apache/ignite.git,4k,3.2*1000000
directory-fortress-core,https://github.com/apache/directory-fortress-core.git,36,149.5*1000
tapestry-5,https://github.com/apache/tapestry-5.git,91,792.1*1000
mina-ftpserver,https://github.com/apache/mina-ftpserver.git,24,46.1*1000
atlas,https://github.com/apache/atlas.git,1.1k,500.6*1000
maven-enforcer,https://github.com/apache/maven-enforcer.git,77,35.0*1000
calcite,https://github.com/apache/calcite.git,2.8k,665.4*1000
flink,https://github.com/apache/flink.git,17.7k,3.3*1000000
commons-vfs,https://github.com/apache/commons-vfs.git,154,90.0*1000
bookkeeper,https://github.com/apache/bookkeeper.git,1.4k,544.9*1000
flume,https://github.com/apache/flume.git,2.2k,178.1*1000
calcite-avatica,https://github.com/apache/calcite-avatica.git,149,75.0*1000
aries-jax-rs-whiteboard,https://github.com/apache/aries-jax-rs-whiteboard.git,26,31.3*1000
nifi,https://github.com/apache/nifi.git,2.9k,1.7*1000000
cxf,https://github.com/apache/cxf.git,742,1.4*1000000
netbeans,https://github.com/apache/netbeans.git,1.7k,22.0*1000000
phoenix,https://github.com/apache/phoenix.git,910,566.2*1000
solr,https://github.com/apache/solr.git,269,1.6*1000000
drill,https://github.com/apache/drill.git,1.6k,1.2*1000000
druid,https://github.com/apache/druid.git,11.4k,1.4*1000000
hive,https://github.com/apache/hive.git,4k,6.2*1000000
geode,https://github.com/apache/geode.git,2k,2.3*1000000
hbase,https://github.com/apache/hbase.git,4.3k,1.4*1000000
karaf,https://github.com/apache/karaf.git,570,283.9*1000
hadoop,https://github.com/apache/hadoop.git,12.2k,4.7*1000000
avro,https://github.com/apache/avro.git,2k,319.8*1000
httpcomponents-client,https://github.com/apache/httpcomponents-client.git,1.1k,124.3*1000
rocketmq,https://github.com/apache/rocketmq.git,16.1k,184.2*1000
ofbiz-framework,https://github.com/apache/ofbiz-framework.git,403,1.3*1000000
archiva,https://github.com/apache/archiva.git,292,361.2*1000
iotdb,https://github.com/apache/iotdb.git,1.7k,511.7*1000
