Name,Repository,Stars,LOC,Size_Classification
geode-kafka-connector,https://github.com/apache/geode-kafka-connector.git,4,5600,0
incubator-retired-horn,https://github.com/apache/incubator-retired-horn.git,29,10200,0
sling-org-apache-sling-testing-rules,https://github.com/apache/sling-org-apache-sling-testing-rules.git,3,3800,0
aries-cdi,https://github.com/apache/aries-cdi.git,7,51600,0
qpid-jms,https://github.com/apache/qpid-jms.git,59,171300,0
sling-org-apache-sling-installer-it,https://github.com/apache/sling-org-apache-sling-installer-it.git,2,5700,0
james-jsieve,https://github.com/apache/james-jsieve.git,7,25400,0
sling-org-apache-sling-performance,https://github.com/apache/sling-org-apache-sling-performance.git,2,4100,0
karaf-cave,https://github.com/apache/karaf-cave.git,17,27300,0
sling-jspc-maven-plugin,https://github.com/apache/sling-jspc-maven-plugin.git,2,5000,0
activemq-artemis,https://github.com/apache/activemq-artemis.git,762,1300000,1
asterixdb-hyracks,https://github.com/apache/asterixdb-hyracks.git,16,1900000,1
commons-rng,https://github.com/apache/commons-rng.git,32,1000000,1
directory-server,https://github.com/apache/directory-server.git,89,1200000,1
incubator-hop,https://github.com/apache/incubator-hop.git,173,1300000,1
tinkerpop,https://github.com/apache/tinkerpop.git,1400,1100000,1
drill,https://github.com/apache/drill.git,1600,1200000,1
openjpa,https://github.com/apache/openjpa.git,96,850500,1
tomee,https://github.com/apache/tomee.git,377,1300000,1
harmony-classlib,https://github.com/apache/harmony-classlib.git,5,1900000,1
jspwiki,https://github.com/apache/jspwiki.git,79,429700,2
rya,https://github.com/apache/rya.git,103,496800,2
karaf,https://github.com/apache/karaf.git,570,283900,2
odftoolkit,https://github.com/apache/odftoolkit.git,37,676600,2
pdfbox,https://github.com/apache/pdfbox.git,1600,557500,2
ofbiz-plugins,https://github.com/apache/ofbiz-plugins.git,95,365800,2
incubator-retired-blur,https://github.com/apache/incubator-retired-blur.git,33,492500,2
plc4x,https://github.com/apache/plc4x.git,433,532100,2
apex-malhar,https://github.com/apache/apex-malhar.git,131,491900,2
xalan-j,https://github.com/apache/xalan-j.git,24,398900,2
